"Category","Question","Answer"
"Hardware","Where can I source hardware?","General hardware: https://marathonhardware.com/\nTable legs: https://rustydesign.ca/\nStrong recommendation: Avoid special-order items when possible to prevent delays and extra cost. Tell the team exactly what you want and they will source or advise."
"Custom Details","What custom details or special features can I request?","Anything not covered elsewhere: engravings, inlays, custom leg profiles, curves, cable grommets, electronic considerations, custom desk heights, specially sized shelves, inlaid/engraved messages (great for gifts), or any other unique idea. If unsure whether something is possible, ask — it’s rarely impossible and they can often suggest even better alternatives."
"Timeline & Delivery","How long does a custom piece take?","It varies based on size, complexity, and current workload/time of year. Smaller projects finish faster. A completion estimate is provided during consultation with no surprises."
"Timeline & Delivery","Do you offer pickup and delivery?","Local pickup from the shop in Innisfil is free. Delivery can be arranged at your expense; cost depends on item size and distance. Shipping to other provinces and the US is possible — contact them to discuss specifics and costs."
"Pricing & Payment","How much does a custom piece cost?","Every piece is custom-quoted based on wood species, size, complexity, and finish. As a general guide, custom furniture often costs roughly double a mass-produced equivalent. Contact them for a specific quote."
"Pricing & Payment","What is the payment process?","50% deposit to begin the build; remaining 50% due on pickup or delivery. Cash or e-transfer only."
"Pricing & Payment","Should I discuss budget early?","Yes — absolutely. Knowing a real budget range helps guide wood, style, and feature choices to make the project feasible."
"General Questions","What if I'm not sure what I want?","Start by downloading the Custom Order Form and reach out with a rough idea. Michael and Rachel will guide you through every decision. They’ve built almost everything and can suggest solutions you hadn’t considered."
"General Questions","Can you make personalized or engraved pieces?","Yes. Engravings work great on signs, boxes, cutting boards, and other items. Custom personalized gifts are a specialty."
"General Questions","Can I see examples of your work?","Yes — visit the gallery at blackbarrelwoodco.com/gallery or follow @blackbarrelwoodco on Instagram and Facebook."
"General Questions","What is Black Barrel Wood Co.'s philosophy?","Hand-made furniture and wooden decor to accentuate your home and show off your personal style. Every piece is collaborative, built with superior materials and craftsmanship."
